Symbol,Company Name,Market Cap,Stock Price
MAR,"Marriott International, Inc.",83.15B,313.81
FDX,FedEx Corporation,82.69B,351.68
UPS,"United Parcel Service, Inc.",82.54B,97.21
PNC,"The PNC Financial Services Group, Inc.",81.13B,201.13
FCX,Freeport-McMoRan Inc.,81.03B,56.38
NKE,"NIKE, Inc.",79.91B,53.98
BK,The Bank of New York Mellon Corporation,79.80B,116.17
JCI,Johnson Controls International plc,79.66B,130.16
MMM,3M Company,79.51B,150.96
BX,Blackstone Inc.,79.25B,106.78
SHW,The Sherwin-Williams Company,79.23B,319.78
USB,U.S. Bancorp,79.16B,51.00
SNPS,"Synopsys, Inc.",79.04B,412.63
REGN,"Regeneron Pharmaceuticals, Inc.",78.84B,745.77
MSI,"Motorola Solutions, Inc.",78.38B,473.12
CDNS,"Cadence Design Systems, Inc.",78.26B,287.03
CTAS,Cintas Corporation,77.69B,194.28
ECL,Ecolab Inc.,77.31B,274.18
ITW,Illinois Tool Works Inc.,76.95B,266.99
ABNB,"Airbnb, Inc.",76.88B,126.30
ORLY,"O'Reilly Automotive, Inc.",76.76B,91.54
KKR,KKR & Co. Inc.,76.61B,85.93
MCO,Moody's Corporation,76.24B,430.01
MNST,Monster Beverage Corporation,75.43B,77.11
EMR,Emerson Electric Co.,74.32B,132.24
KMI,"Kinder Morgan, Inc.",74.29B,33.39
CMI,Cummins Inc.,74.02B,535.71
RCL,Royal Caribbean Cruises Ltd.,73.73B,272.54
CSX,CSX Corporation,73.08B,39.30
EOG,"EOG Resources, Inc.",71.68B,133.60
AEP,"American Electric Power Company, Inc.",71.52B,133.61
CL,Colgate-Palmolive Company,71.21B,88.84
CI,The Cigna Group,70.41B,267.19
MDLZ,"Mondelez International, Inc.",70.36B,54.89
DASH,"DoorDash, Inc.",70.10B,161.36
PSX,Phillips 66,69.22B,172.74
RSG,"Republic Services, Inc.",69.08B,224.28
VLO,Valero Energy Corporation,68.95B,230.59
AON,Aon plc,68.86B,321.41
TDG,TransDigm Group Incorporated,68.60B,1214.66
COR,"Cencora, Inc.",68.08B,349.95
WBD,"Warner Bros. Discovery, Inc.",67.31B,27.14
ROST,"Ross Stores, Inc.",67.09B,206.28
LHX,"L3Harris Technologies, Inc.",67.05B,358.96
SLB,SLB N.V.,66.87B,44.72
HLT,Hilton Worldwide Holdings Inc.,66.85B,291.55
CRH,CRH plc,66.70B,99.82
MPC,Marathon Petroleum Corporation,66.66B,226.18
HOOD,"Robinhood Markets, Inc.",66.07B,73.39
GM,General Motors Company,65.44B,72.39
TRV,"The Travelers Companies, Inc.",65.41B,302.49
NSC,Norfolk Southern Corporation,64.98B,289.37
ELV,"Elevance Health, Inc.",64.36B,291.63
APD,"Air Products and Chemicals, Inc.",64.12B,287.98
SRE,Sempra,62.13B,95.11
FTNT,"Fortinet, Inc.",62.05B,83.44
DLR,"Digital Realty Trust, Inc.",61.72B,179.61
SPG,"Simon Property Group, Inc.",60.71B,186.82
PCAR,PACCAR Inc,60.66B,115.34
APO,"Apollo Global Management, Inc.",60.39B,104.44
O,Realty Income Corporation,60.19B,64.44
AZO,"AutoZone, Inc.",58.85B,3562.85
TEL,TE Connectivity plc,58.51B,199.41
OXY,Occidental Petroleum Corporation,57.09B,57.88
AFL,Aflac Incorporated,56.13B,108.71
D,"Dominion Energy, Inc.",55.55B,63.21
TFC,Truist Financial Corporation,54.75B,43.83
OKE,"ONEOK, Inc.",53.76B,85.36
ALL,The Allstate Corporation,53.63B,206.17
BKR,Baker Hughes Company,53.62B,54.26
VST,Vistra Corp.,53.56B,158.95
AJG,Arthur J. Gallagher & Co.,53.46B,207.93
CTVA,"Corteva, Inc.",53.27B,79.21
TGT,Target Corporation,53.14B,117.34
ADSK,"Autodesk, Inc.",53.00B,251.17
PSA,Public Storage,52.25B,297.72
FAST,Fastenal Company,52.20B,45.46
MPWR,"Monolithic Power Systems, Inc.",51.70B,1052.59
COIN,"Coinbase Global, Inc.",51.63B,195.53
TRGP,Targa Resources Corp.,51.60B,240.05
FANG,"Diamondback Energy, Inc.",51.44B,182.37
XEL,Xcel Energy Inc.,51.10B,81.91
CAH,"Cardinal Health, Inc.",51.08B,217.08
EXC,Exelon Corporation,50.96B,49.82
GWW,"W.W. Grainger, Inc.",50.88B,1073.94
EA,Electronic Arts Inc.,49.86B,199.24
